Fwd Packet Length Std,Flow IAT Mean,Flow IAT Std,Fwd IAT Mean,Bwd IAT Total,Bwd IAT Mean,Packet Length Mean,Label
0.000000,0.298000,0.000000,0.000000,0,0.000000,136.333333,dns
0.000000,71.789000,0.000000,0.000000,0,0.000000,125.333333,dns
0.000000,0.254000,0.000000,0.000000,0,0.000000,120.000000,dns
0.000000,0.857000,0.000000,0.000000,0,0.000000,133.000000,dns
0.000000,0.361000,0.000000,0.000000,0,0.000000,133.000000,dns
0.000000,10.217000,0.000000,0.000000,0,0.000000,198.333333,dns
0.000000,0.233000,0.000000,0.000000,0,0.000000,126.333333,dns
0.000000,0.121000,0.104072,0.047000,76,0.076000,145.800000,dns
0.000000,0.247000,0.000000,0.000000,0,0.000000,139.333333,dns
0.000000,580.912000,0.000000,0.000000,0,0.000000,178.333333,dns
0.000000,383.056000,0.000000,0.000000,0,0.000000,188.333333,dns
0.000000,4.256000,0.000000,0.000000,0,0.000000,115.000000,dns
0.000000,0.853000,0.000000,0.000000,0,0.000000,136.333333,dns
0.000000,191.809000,0.000000,0.000000,0,0.000000,74.333333,dns
0.000000,9.827000,0.000000,0.000000,0,0.000000,200.000000,dns
0.000000,299.502000,0.000000,0.000000,0,0.000000,92.000000,dns
0.000000,0.211000,0.000000,0.000000,0,0.000000,146.333333,dns
0.000000,0.259000,0.000000,0.000000,0,0.000000,108.333333,dns
0.000000,0.216000,0.000000,0.000000,0,0.000000,120.000000,dns
0.000000,0.265000,0.000000,0.000000,0,0.000000,130.333333,dns
0.000000,0.133000,0.000000,0.000000,0,0.000000,131.333333,dns
0.000000,0.001940,0.000000,0.000000,0,0.000000,133.000000,dns
0.000000,0.248000,0.000000,0.000000,0,0.000000,194.666667,dns
0.000000,0.248000,0.000000,0.000000,0,0.000000,190.000000,dns
0.000000,140.569000,0.000000,0.000000,0,0.000000,136.333333,dns
0.000000,4205.739000,0.000000,0.000000,0,0.000000,156.000000,dns
0.000000,0.225000,0.000000,0.000000,0,0.000000,120.000000,dns
0.000000,0.269000,0.000000,0.000000,0,0.000000,127.333333,dns
0.000000,0.242000,0.000000,0.000000,0,0.000000,76.000000,dns
0.000000,0.305000,0.000000,0.000000,0,0.000000,130.000000,dns
0.000000,0.000170,0.000000,0.000000,0,0.000000,200.000000,dns
0.000000,1.014000,0.000000,0.000000,0,0.000000,144.666667,dns
0.000000,0.233000,0.000000,0.000000,0,0.000000,127.333333,dns
0.000000,50.456000,0.000000,0.000000,0,0.000000,183.000000,dns
0.000000,406.238000,0.000000,0.000000,0,0.000000,201.000000,dns
0.000000,61.723000,0.000000,0.000000,0,0.000000,150.333333,dns
0.000000,9.591000,0.000000,0.000000,0,0.000000,149.000000,dns
0.000000,0.298000,0.000000,0.000000,0,0.000000,127.333333,dns
0.000000,0.332000,0.000000,0.000000,0,0.000000,127.333333,dns
0.000000,40.016000,0.000000,0.000000,0,0.000000,130.333333,dns
0.000000,0.000340,0.000000,0.000000,0,0.000000,129.000000,dns
0.000000,0.008360,0.000000,0.000000,0,0.000000,199.666667,dns
0.000000,0.286000,0.000000,0.000000,0,0.000000,126.000000,dns
1.414214,0.469317,770.195289,1.407720,1358439,1358.439000,154.800000,dns
0.000000,2.114000,0.000000,0.000000,0,0.000000,198.666667,dns
0.000000,0.331000,0.000000,0.000000,0,0.000000,195.000000,dns
0.000000,6.602000,0.000000,0.000000,0,0.000000,171.333333,dns
0.000000,0.234000,0.000000,0.000000,0,0.000000,133.000000,dns
0.000000,0.213000,0.000000,0.000000,0,0.000000,120.000000,dns
0.000000,0.239000,0.000000,0.000000,0,0.000000,136.333333,dns
0.000000,0.268000,0.000000,0.000000,0,0.000000,191.666667,dns
0.000000,0.302000,0.000000,0.000000,0,0.000000,130.000000,dns
0.000000,0.425000,0.000000,0.000000,0,0.000000,155.333333,dns
0.000000,0.216000,0.000000,0.000000,0,0.000000,171.333333,dns
0.000000,0.273000,0.000000,0.000000,0,0.000000,192.333333,dns
0.000000,0.208000,0.000000,0.000000,0,0.000000,135.333333,dns
0.000000,163.546000,0.000000,0.000000,0,0.000000,156.333333,dns
0.000000,2.227000,0.000000,0.000000,0,0.000000,171.333333,dns
0.000000,0.000280,0.000000,0.000000,0,0.000000,137.333333,dns
0.000000,0.174000,0.000000,0.000000,0,0.000000,134.666667,dns
0.000000,1.302000,0.000000,0.000000,0,0.000000,168.333333,dns
0.000000,0.231000,0.000000,0.000000,0,0.000000,131.333333,dns
0.000000,0.201000,0.000000,0.000000,0,0.000000,137.333333,dns
0.000000,0.307000,0.000000,0.000000,0,0.000000,120.000000,dns
0.000000,0.277000,0.000000,0.000000,0,0.000000,133.000000,dns
0.000000,0.343458,565.761691,858.519000,1716692,858.346000,174.000000,dns
0.000000,1.929000,0.000000,0.000000,0,0.000000,143.333333,dns
0.000000,8.273000,0.000000,0.000000,0,0.000000,190.333333,dns
0.000000,0.000180,0.000000,0.000000,0,0.000000,120.000000,dns
0.000000,366.839000,0.000000,0.000000,0,0.000000,138.333333,dns
0.000000,24.962000,0.000000,0.000000,0,0.000000,152.666667,dns
0.000000,11.619000,0.000000,0.000000,0,0.000000,197.000000,dns
0.000000,3.527000,0.000000,0.000000,0,0.000000,169.000000,dns
0.000000,8.041000,0.000000,0.000000,0,0.000000,199.333333,dns
0.000000,138.724000,0.000000,0.000000,0,0.000000,141.333333,dns
3.535534,0.015285,25.969249,45.606000,45522,45.522000,139.600000,dns
0.000000,74.439000,0.000000,0.000000,0,0.000000,126.000000,dns
0.000000,1.893000,0.000000,0.000000,0,0.000000,121.000000,dns
0.000000,0.293000,0.000000,0.000000,0,0.000000,162.333333,dns
0.000000,0.182000,0.000000,0.000000,0,0.000000,135.333333,dns
0.000000,71.885000,0.000000,0.000000,0,0.000000,102.000000,dns
